energy,cubicRoot,strain,alphaJutzi,pressure
1277.112000,1.000000,0.000000,1.000000,-1393259000.000000
4672.408000,1.000000,0.000000,1.000000,-4962914000.000000
13254.830000,1.000000,0.000000,1.000000,-6126072000.000000
993.554500,1.000000,0.000000,1.000000,-2507283000.000000
425857.100000,1.000000,0.000000,1.000000,-4004979000.000000
588.928900,1.000000,0.000000,1.000000,-3060625000.000000
4838.516000,1.000000,0.000000,1.000000,-5437870000.000000
614.503900,1.000000,0.000000,1.000000,-1650366000.000000
1760.186000,1.000000,0.000000,1.000000,-2118117000.000000
32895.430000,1.000000,0.000000,1.000000,-5555347000.000000
2063.048000,1.000000,0.000000,1.000000,-1998775000.000000
435.717900,1.000000,0.000000,1.000000,-1090550000.000000
101205.600000,1.000000,0.000000,1.000000,-4419300000.000000
277.179800,1.000000,0.000000,1.000000,-1303164000.000000
1232.521000,1.000000,0.000000,1.000000,-6402619000.000000
6539.015000,1.000000,0.000000,1.000000,-5043172000.000000
4431.091000,1.000000,0.000000,1.000000,-4659078000.000000
2070.502000,1.000000,0.000000,1.000000,-4276859000.000000
443.949900,1.000000,0.000000,1.000000,-2197961000.000000
